Metropolitan Area,City,STATE,Metro / Micro,Customers (State Level),Gross Sales (State Level),Total households,Owner-occupied housing units with a mortgage,"VALUE!!$1,000,000 or more",% Houses >$1m,VALUE!!Median (dollars)
"Dallas-Fort Worth-Arlington, TX Metro Area",Dallas-Fort Worth-Arlington,TX,Metro,6,12660,2891725,1093299,52299,0.047835953,382700
"Astoria, OR Micro Area",Astoria,OR,Micro,1,375,17984,6913,330,0.047736149,474000
"Morehead City, NC Micro Area",Morehead City,NC,Micro,0,0,31977,13245,632,0.047716119,365400
"Cape Coral-Fort Myers, FL Metro Area",Cape Coral-Fort Myers,FL,Metro,1,3300,327803,126473,5997,0.047417235,374200
"Petoskey, MI Micro Area",Petoskey,MI,Micro,2,12595,15190,6444,305,0.04733085,305900
"Ogden, UT Metro Area",Ogden,UT,Metro,2,2325,213829,115347,5280,0.045774923,475500
"Greeley, CO Metro Area",Greeley,CO,Metro,1,375,124287,69874,3156,0.045167015,480300
"Raleigh-Cary, NC Metro Area",Raleigh-Cary,NC,Metro,0,0,574295,277026,12453,0.044952459,431200
"Los Alamos, NM Micro Area",Los Alamos,NM,Micro,0,0,8247,4073,182,0.044684508,519700
"Taos, NM Micro Area",Taos,NM,Micro,1,3200,15549,4457,199,0.044648867,432200
"Baltimore-Columbia-Towson, MD Metro Area",Baltimore-Columbia-Towson,MD,Metro,18,43250,1120269,525455,23370,0.04447574,403000
"Laconia, NH Micro Area",Laconia,NH,Micro,2,1200,26337,12440,550,0.044212219,381200
"Jacksonville, FL Metro Area",Jacksonville,FL,Metro,0,0,663101,283648,12506,0.044089858,357200
"Bennington, VT Micro Area",Bennington,VT,Micro,2,58825,14987,6280,275,0.043789809,278400
"Grand Junction, CO Metro Area",Grand Junction,CO,Metro,1,3300,65830,31375,1366,0.043537849,380800
"Tampa-St. Petersburg-Clearwater, FL Metro Area",Tampa-St. Petersburg-Clearwater,FL,Metro,5,9500,1330303,522463,22712,0.043471021,375300
"Corvallis, OR Metro Area",Corvallis,OR,Metro,0,0,38537,12513,542,0.043314952,528700
"Atlanta-Sandy Springs-Roswell, GA Metro Area",Atlanta-Sandy Springs-Roswell,GA,Metro,18,43250,2313055,1070947,46251,0.043187011,377900
"Colorado Springs, CO Metro Area",Colorado Springs,CO,Metro,1,3300,302050,144034,6208,0.043100935,465500
"Las Vegas-Henderson-North Las Vegas, NV Metro Area",Las Vegas-Henderson-North Las Vegas,NV,Metro,2,11835,862518,338053,14533,0.0429903,438600
"Eugene-Springfield, OR Metro Area",Eugene-Springfield,OR,Metro,18,43250,160445,58887,2523,0.04284477,447100
"Port St. Lucie, FL Metro Area",Port St. Lucie,FL,Metro,2,11835,205254,86499,3695,0.042717257,384800
"Alexander City, AL Micro Area",Alexander City,AL,Micro,0,0,17076,6061,257,0.042402244,166700
"Lebanon-Claremont, NH-VT Micro Area",Lebanon-Claremont,NH-VT,Micro,0,0,91760,36580,1547,0.042290869,311700
"Port Angeles, WA Micro Area",Port Angeles,WA,Micro,0,0,35046,12861,529,0.041132105,438600
"Juneau, AK Micro Area",Juneau,AK,Micro,0,0,13167,4984,205,0.041131621,453700
"Houston-Pasadena-The Woodlands, TX Metro Area",Houston-Pasadena-The Woodlands,TX,Metro,3,2610,2661739,953677,39168,0.041070509,325900
"Logan, UT-ID Metro Area",Logan,UT-ID,Metro,1,3200,49371,20483,839,0.040960797,446400
"Gainesville, GA Metro Area",Gainesville,GA,Metro,20,30671,73551,30121,1231,0.040868497,369900
"Payson, AZ Micro Area",Payson,AZ,Micro,0,0,23645,7775,316,0.040643087,336400
"Wilmington, NC Metro Area",Wilmington,NC,Metro,18,43250,199271,89209,3620,0.040578865,370400
"Longview-Kelso, WA Metro Area",Longview-Kelso,WA,Metro,50,336933,43943,19319,782,0.040478286,408800
"Chico, CA Metro Area",Chico,CA,Metro,3,3820,83312,27798,1101,0.039607166,445900
"Olympia-Lacey-Tumwater, WA Metro Area",Olympia-Lacey-Tumwater,WA,Metro,1,375,118899,53511,2105,0.039337706,490000
"Chicago-Naperville-Elgin, IL-IN Metro Area",Chicago-Naperville-Elgin,IL-IN,Metro,18,43250,3643783,1534952,60126,0.039171257,335100
"Pittsfield, MA Metro Area",Pittsfield,MA,Metro,1,375,57585,23880,935,0.039154104,311800
"Athens, TX Micro Area",Athens,TX,Micro,0,0,33575,11329,443,0.039103187,241800
"Kerrville, TX Micro Area",Kerrville,TX,Micro,0,0,22615,6445,252,0.039100078,330500
"Ann Arbor, MI Metro Area",Ann Arbor,MI,Metro,0,0,150550,59236,2305,0.038912148,383200
"Centralia, WA Micro Area",Centralia,WA,Micro,0,0,32916,14828,575,0.038777988,408100
"Brookings, OR Micro Area",Brookings,OR,Micro,0,0,11159,3751,145,0.038656358,425300
"Sonora, CA Micro Area",Sonora,CA,Micro,50,336933,22690,9785,378,0.038630557,446800
"Modesto, CA Metro Area",Modesto,CA,Metro,50,336933,177874,71500,2757,0.038559441,460200
"Brevard, NC Micro Area",Brevard,NC,Micro,6,12660,14584,5161,199,0.038558419,381200
"Newport, OR Micro Area",Newport,OR,Micro,0,0,23115,8857,335,0.037823191,420300
"Providence-Warwick, RI-MA Metro Area",Providence-Warwick,RI-MA,Metro,2,1050,675395,282988,10607,0.037482155,429300
"Spearfish, SD Micro Area",Spearfish,SD,Micro,1,425,12054,4052,151,0.037265548,359100
"Detroit Lakes, MN Micro Area",Detroit Lakes,MN,Micro,1,375,14410,6237,229,0.03671637,295800
"Stephenville, TX Micro Area",Stephenville,TX,Micro,2,58825,16816,5097,184,0.036099666,306000
"Zapata, TX Micro Area",Zapata,TX,Micro,50,336933,4565,894,32,0.035794183,167100
"Spokane-Spokane Valley, WA Metro Area",Spokane-Spokane Valley,WA,Metro,0,0,237769,98907,3503,0.035417109,417700
"Pinehurst-Southern Pines, NC Metro Area",Pinehurst-Southern Pines,NC,Metro,5,9500,44013,19192,677,0.035275115,367500
"Evanston, WY-UT Micro Area",Evanston,WY-UT,Micro,2,58825,8639,3434,121,0.035235877,299600
"Elk City, OK Micro Area",Elk City,OK,Micro,6,12660,8188,2381,83,0.034859303,143000
"Athens-Clarke County, GA Metro Area",Athens-Clarke County,GA,Metro,1,425,86101,28485,990,0.034755134,331500
"Bonham, TX Micro Area",Bonham,TX,Micro,3,12150,12767,4636,159,0.034296808,251100
"Fresno, CA Metro Area",Fresno,CA,Metro,0,0,370081,137875,4707,0.034139619,403100
"Merced, CA Metro Area",Merced,CA,Metro,0,0,86055,29848,1009,0.03380461,400100
"Montrose, CO Micro Area",Montrose,CO,Micro,50,336933,18069,7131,241,0.033796102,397600
"Crescent City, CA Micro Area",Crescent City,CA,Micro,0,0,9522,3350,113,0.033731343,383100
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,Metro,6,12660,2467761,1060639,35719,0.033676868,366500
"Helena, MT Metro Area",Helena,MT,Metro,0,0,39033,17320,579,0.033429561,422400
"Orlando-Kissimmee-Sanford, FL Metro Area",Orlando-Kissimmee-Sanford,FL,Metro,18,43250,1022315,419238,13932,0.03323172,387300
"Daphne-Fairhope-Foley, AL Metro Area",Daphne-Fairhope-Foley,AL,Metro,4,3425,98574,45248,1495,0.033040134,328000
"Sterling, CO Micro Area",Sterling,CO,Micro,0,0,8203,2856,94,0.032913165,264100
"Fayetteville-Springdale-Rogers, AR Metro Area",Fayetteville-Springdale-Rogers,AR,Metro,2,12595,215566,84515,2774,0.032822576,324100
"Carson City, NV Metro Area",Carson City,NV,Metro,0,0,23692,8485,278,0.032763701,456900
"Rexburg, ID Micro Area",Rexburg,ID,Micro,2,58825,17980,5257,172,0.03271828,381500
"Shelton, WA Micro Area",Shelton,WA,Micro,0,0,26029,13516,439,0.032480024,422800
"Grants Pass, OR Metro Area",Grants Pass,OR,Metro,2,11835,36715,15051,477,0.031692246,423200
"Wildwood-The Villages, FL Metro Area",Wildwood-The Villages,FL,Metro,50,336933,70318,25828,814,0.031516184,392800
"New Orleans-Metairie, LA Metro Area",New Orleans-Metairie,LA,Metro,50,336933,398564,131221,4135,0.031511724,285600
"Worcester, MA Metro Area",Worcester,MA,Metro,1,425,335826,151217,4764,0.031504394,430100
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",Minneapolis-St. Paul-Bloomington,MN-WI,Metro,0,0,1477259,719564,21714,0.030176607,380100
"Savannah, GA Metro Area",Savannah,GA,Metro,6,12660,161273,66529,1990,0.029911768,317000
"Greenville-Anderson-Greer, SC Metro Area",Greenville-Anderson-Greer,SC,Metro,2,12595,383842,157627,4705,0.029848947,288400
"Palm Bay-Melbourne-Titusville, FL Metro Area",Palm Bay-Melbourne-Titusville,FL,Metro,1,3300,257695,111321,3306,0.029697901,353300
"Richmond, VA Metro Area",Richmond,VA,Metro,6,7600,533430,249826,7405,0.02964063,360400
"Cody, WY Micro Area",Cody,WY,Micro,2,1200,13330,5477,161,0.029395655,401500
"Angola, IN Micro Area",Angola,IN,Micro,0,0,14058,6441,188,0.029188014,217700
"Knoxville, TN Metro Area",Knoxville,TN,Metro,0,0,378234,152173,4409,0.028973602,314600
"Celina, OH Micro Area",Celina,OH,Micro,3,4175,16408,6871,198,0.028816766,217700
"Salem, OR Metro Area",Salem,OR,Metro,0,0,159856,65682,1887,0.028729332,434900
"New Haven, CT Metro Area",New Haven,CT,Metro,0,0,230673,90701,2605,0.028720742,355800
"Albany, OR Metro Area",Albany,OR,Metro,2,1050,50729,21802,623,0.02857536,385300
"Burlington-South Burlington, VT Metro Area",Burlington-South Burlington,VT,Metro,0,0,94559,42486,1181,0.027797392,406800
"Kiryas Joel-Poughkeepsie-Newburgh, NY Metro Area",Kiryas Joel-Poughkeepsie-Newburgh,NY,Metro,6,12660,254883,112667,3125,0.027736604,408300
"Kingston, NY Metro Area",Kingston,NY,Metro,0,0,74278,29200,809,0.027705479,371400
"Granbury, TX Micro Area",Granbury,TX,Micro,3,9021,25523,11544,318,0.027546778,327600
"Laurinburg, NC Micro Area",Laurinburg,NC,Micro,0,0,12580,3599,99,0.027507641,151700
"Alexandria, MN Micro Area",Alexandria,MN,Micro,6,12660,17519,8174,222,0.027159286,324600
"Barre, VT Micro Area",Barre,VT,Micro,2,58825,25855,11497,311,0.027050535,328200
"Shelbyville, TN Micro Area",Shelbyville,TN,Micro,1,3200,19505,8651,231,0.026702115,287400
"Jefferson, GA Micro Area",Jefferson,GA,Micro,20,30671,28402,15060,399,0.026494024,360100
"Marion, NC Micro Area",Marion,NC,Micro,6,7600,18638,6800,180,0.026470588,217600
"Lexington-Fayette, KY Metro Area",Lexington-Fayette,KY,Metro,6,7600,216273,85026,2249,0.026450733,286600
"La Grande, OR Micro Area",La Grande,OR,Micro,0,0,10900,3756,99,0.026357827,298900
"Lexington Park, MD Metro Area",Lexington Park,MD,Metro,6,12660,75901,44876,1181,0.026316962,440800
"Brainerd, MN Micro Area",Brainerd,MN,Micro,4,3425,42276,19259,504,0.026169583,296300
"Tucson, AZ Metro Area",Tucson,AZ,Metro,1,425,437827,169160,4407,0.026052258,334300
"Niles, MI Metro Area",Niles,MI,Metro,4,3425,63999,26120,675,0.025842266,231800
"Punta Gorda, FL Metro Area",Punta Gorda,FL,Metro,6,7600,90542,34572,885,0.02559875,341600
"Ontario, OR-ID Micro Area",Ontario,OR-ID,Micro,3,2610,19984,8020,205,0.025561097,334700
"College Station-Bryan, TX Metro Area",College Station-Bryan,TX,Metro,1,4600,105688,28443,727,0.025559892,308900
"Corsicana, TX Micro Area",Corsicana,TX,Micro,0,0,19044,5999,153,0.025504251,197200
"Lewiston, ID-WA Metro Area",Lewiston,ID-WA,Metro,1,425,26760,10814,275,0.025429998,334700
"Yuba City, CA Metro Area",Yuba City,CA,Metro,6,12660,61927,25661,652,0.025408207,439700
"Rapid City, SD Metro Area",Rapid City,SD,Metro,0,0,62789,25733,649,0.025220534,329900
"Redding, CA Metro Area",Redding,CA,Metro,0,0,71232,29263,727,0.024843659,381800
"Forest City, NC Micro Area",Forest City,NC,Micro,0,0,26642,9388,233,0.024818918,230300
"Coos Bay-North Bend, OR Micro Area",Coos Bay-North Bend,OR,Micro,0,0,28731,11534,286,0.024796255,358100
"The Dalles, OR Micro Area",The Dalles,OR,Micro,2,2325,10563,3795,94,0.024769433,384100
"Virginia Beach-Chesapeake-Norfolk, VA-NC Metro Area",Virginia Beach-Chesapeake-Norfolk,VA-NC,Metro,2,2325,707408,321358,7941,0.024710759,346600
"Pullman, WA Micro Area",Pullman,WA,Micro,0,0,18721,5187,128,0.024677077,389700
"Harrisonburg, VA Metro Area",Harrisonburg,VA,Metro,0,0,50046,18268,450,0.024633238,319800
"Sherman-Denison, TX Metro Area",Sherman-Denison,TX,Metro,50,336933,55248,19036,465,0.024427401,282700
"Cambridge, MD Micro Area",Cambridge,MD,Micro,0,0,13546,4873,119,0.024420275,268500
"Brigham City, UT-ID Micro Area",Brigham City,UT-ID,Micro,0,0,21478,10711,260,0.024274111,400100
"Madison, WI Metro Area",Madison,WI,Metro,0,0,301580,121148,2851,0.023533199,379600
"Cookeville, TN Micro Area",Cookeville,TN,Micro,2,4925,58693,19442,456,0.023454377,258700
"Jacksonville, TX Micro Area",Jacksonville,TX,Micro,2,4925,18185,5041,117,0.023209681,222600
"Ruidoso, NM Micro Area",Ruidoso,NM,Micro,0,0,10000,2862,66,0.023060797,266700
"Whitewater-Elkhorn, WI Micro Area",Whitewater-Elkhorn,WI,Micro,50,336933,43087,19043,439,0.02305309,300600
"Roseburg, OR Micro Area",Roseburg,OR,Micro,2,58825,47519,18057,416,0.023038157,328300
"Manchester-Nashua, NH Metro Area",Manchester-Nashua,NH,Metro,4,3425,168740,76131,1748,0.022960423,428500
"Huntsville, TX Micro Area",Huntsville,TX,Micro,3,12150,26017,6985,159,0.022763064,241800
"Lancaster, PA Metro Area",Lancaster,PA,Metro,2,11835,212748,89533,2024,0.02260619,307800
"Milwaukee-Waukesha, WI Metro Area",Milwaukee-Waukesha,WI,Metro,0,0,656436,257496,5807,0.022551807,314400
"Glens Falls, NY Metro Area",Glens Falls,NY,Metro,2,2325,54602,23076,517,0.02240423,241000
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",Deltona-Daytona Beach-Ormond Beach,FL,Metro,18,43250,294463,124404,2772,0.022282242,335800
"Birmingham, AL Metro Area",Birmingham,AL,Metro,2,2325,465003,194432,4326,0.022249424,269300
"Fayetteville, TN Micro Area",Fayetteville,TN,Micro,20,30671,14849,5433,120,0.022087245,256900
"Kennewick-Richland, WA Metro Area",Kennewick-Richland,WA,Metro,0,0,107936,46985,1035,0.022028307,416100
"San Antonio-New Braunfels, TX Metro Area",San Antonio-New Braunfels,TX,Metro,3,4175,967488,363920,8015,0.022024071,305000
"Bakersfield-Delano, CA Metro Area",Bakersfield-Delano,CA,Metro,50,336933,284931,113015,2479,0.021935141,358000
"Fergus Falls, MN Micro Area",Fergus Falls,MN,Micro,50,336933,25157,10638,232,0.021808611,280200
"Midland, TX Metro Area",Midland,TX,Metro,50,336933,69624,25821,563,0.021803958,351100
"Baker City, OR Micro Area",Baker City,OR,Micro,2,12595,7355,2571,56,0.021781408,281600
"Bogalusa, LA Micro Area",Bogalusa,LA,Micro,2,1200,17716,4501,98,0.021772939,199500
"Lewisburg, PA Micro Area",Lewisburg,PA,Micro,50,336933,14546,5575,121,0.021704036,256800
"Chattanooga, TN-GA Metro Area",Chattanooga,TN-GA,Metro,2,12595,231335,89977,1948,0.021649977,291000
"Milledgeville, GA Micro Area",Milledgeville,GA,Micro,0,0,16582,4533,97,0.021398632,198200
"Kansas City, MO-KS Metro Area",Kansas City,MO-KS,Metro,2,2325,895368,380974,8130,0.021340039,306100
"Amherst Town-Northampton, MA Metro Area",Amherst Town-Northampton,MA,Metro,1,425,62114,25310,540,0.021335441,401100
"Roanoke, VA Metro Area",Roanoke,VA,Metro,18,43250,131510,52504,1116,0.021255523,263200
"State College, PA Metro Area",State College,PA,Metro,18,43250,59013,21426,452,0.021095865,345600
"Lake Havasu City-Kingman, AZ Metro Area",Lake Havasu City-Kingman,AZ,Metro,0,0,101973,38891,806,0.020724589,325900
"Carroll, IA Micro Area",Carroll,IA,Micro,0,0,8801,3476,72,0.020713464,176400
"Anchorage, AK Metro Area",Anchorage,AK,Metro,1,425,148466,68432,1407,0.020560556,386100
"Moscow, ID Micro Area",Moscow,ID,Micro,0,0,16270,5034,103,0.020460866,374500
"Holland, MI Micro Area",Holland,MI,Micro,3,12150,45522,22607,459,0.020303446,273500
"Billings, MT Metro Area",Billings,MT,Metro,0,0,78371,32099,644,0.02006293,373400
"El Centro, CA Metro Area",El Centro,CA,Metro,0,0,49644,16718,335,0.020038282,338800
"Nacogdoches, TX Micro Area",Nacogdoches,TX,Micro,0,0,25302,5996,119,0.019846564,201500
"Dublin, GA Micro Area",Dublin,GA,Micro,2,12595,21809,5501,109,0.019814579,201800
"Lexington, NE Micro Area",Lexington,NE,Micro,0,0,9981,3099,61,0.019683769,199200
"Pensacola-Ferry Pass-Brent, FL Metro Area",Pensacola-Ferry Pass-Brent,FL,Metro,0,0,201632,85809,1688,0.019671596,307400
"St. Louis, MO-IL Metro Area",St. Louis,MO-IL,Metro,50,336933,1160386,519417,10201,0.019639326,261000
"Winona, MN Micro Area",Winona,MN,Micro,0,0,20253,8389,164,0.01954941,243600
"Sioux Falls, SD-MN Metro Area",Sioux Falls,SD-MN,Metro,50,336933,122517,51837,993,0.019156201,309600
"Panama City-Panama City Beach, FL Metro Area",Panama City-Panama City Beach,FL,Metro,2,2325,88065,32576,624,0.019155206,317600
"Walla Walla, WA Metro Area",Walla Walla,WA,Metro,0,0,23447,8989,172,0.019134498,427300
"Myrtle Beach-Conway-North Myrtle Beach, SC Metro Area",Myrtle Beach-Conway-North Myrtle Beach,SC,Metro,0,0,158779,67739,1296,0.019132258,307300
"Columbus, OH Metro Area",Columbus,OH,Metro,0,0,864663,361559,6907,0.019103383,315100
"Rockingham, NC Micro Area",Rockingham,NC,Micro,0,0,17026,5557,106,0.01907504,154900
"Tallahassee, FL Metro Area",Tallahassee,FL,Metro,4,3425,157965,53449,1016,0.019008775,295100
"Henderson, NC Micro Area",Henderson,NC,Micro,2,11835,16147,4437,84,0.018931711,182400
"LaGrange, GA-AL Micro Area",LaGrange,GA-AL,Micro,0,0,40338,14256,269,0.018869248,210400
"Elizabethtown, KY Metro Area",Elizabethtown,KY,Metro,50,336933,50618,19945,376,0.018851843,239200
"Grand Rapids-Wyoming-Kentwood, MI Metro Area",Grand Rapids-Wyoming-Kentwood,MI,Metro,18,43250,440316,202330,3787,0.018716948,294100
"Elko, NV Micro Area",Elko,NV,Micro,0,0,20249,7712,144,0.018672199,339300
"Brattleboro, VT Micro Area",Brattleboro,VT,Micro,0,0,19784,8639,159,0.018404908,272200
"Red Bluff, CA Micro Area",Red Bluff,CA,Micro,1,4600,24788,9619,177,0.018401081,359300
"Winchester, TN Micro Area",Winchester,TN,Micro,1,375,17445,6972,128,0.018359151,244300
"Laramie, WY Micro Area",Laramie,WY,Micro,2,4925,17083,4914,90,0.018315018,347400
"Elizabeth City, NC Micro Area",Elizabeth City,NC,Micro,2,58825,15785,6463,118,0.018257775,255500
"Rochester, MN Metro Area",Rochester,MN,Metro,18,43250,92880,41983,766,0.01824548,314800
"Cullman, AL Micro Area",Cullman,AL,Micro,3,3820,35347,13203,240,0.018177687,227000
"McMinnville, TN Micro Area",McMinnville,TN,Micro,6,12660,16203,5632,102,0.018110795,214600
"Waynesville, NC Micro Area",Waynesville,NC,Micro,0,0,27123,10220,185,0.018101761,302700
"Fort Morgan, CO Micro Area",Fort Morgan,CO,Micro,2,2300,11069,4557,82,0.017994294,349500
"Memphis, TN-MS-AR Metro Area",Memphis,TN-MS-AR,Metro,6,7600,522879,198511,3560,0.017933515,268400
"Detroit-Warren-Dearborn, MI Metro Area",Detroit-Warren-Dearborn,MI,Metro,18,43250,1768816,741784,13301,0.017931096,279000
"Othello, WA Micro Area",Othello,WA,Micro,50,336933,6288,2105,37,0.017577197,293000
"Hickory-Lenoir-Morganton, NC Metro Area",Hickory-Lenoir-Morganton,NC,Metro,0,0,149578,59744,1048,0.01754151,238300
"Visalia, CA Metro Area",Visalia,CA,Metro,0,0,143195,54524,947,0.017368498,346600
"Columbia, SC Metro Area",Columbia,SC,Metro,6,12660,339601,147163,2548,0.017314135,250600
"Oklahoma City, OK Metro Area",Oklahoma City,OK,Metro,0,0,571211,216379,3732,0.017247515,243200
"Lake of the Woods, VA Micro Area",Lake of the Woods,VA,Micro,0,0,14856,8107,139,0.017145677,360300
"Indianapolis-Carmel-Greenwood, IN Metro Area",Indianapolis-Carmel-Greenwood,IN,Metro,6,7600,842765,388537,6656,0.01713093,280000
"Mankato, MN Metro Area",Mankato,MN,Metro,0,0,40608,16023,273,0.017038008,272600
"Auburn-Opelika, AL Metro Area",Auburn-Opelika,AL,Metro,1,4600,76673,29875,508,0.017004184,275000
"Hanford-Corcoran, CA Metro Area",Hanford-Corcoran,CA,Metro,3,2610,44052,15763,268,0.01700184,340700
"Athens, TN Micro Area",Athens,TN,Micro,2,58825,26453,10129,172,0.016980946,220700
"Salisbury, MD Metro Area",Salisbury,MD,Metro,2,2325,48818,19784,335,0.016932875,253200
"Sevierville, TN Micro Area",Sevierville,TN,Micro,0,0,40344,14774,248,0.016786246,327400
"Fargo, ND-MN Metro Area",Fargo,ND-MN,Metro,1,425,110387,39997,671,0.016776258,294700
"Twin Falls, ID Metro Area",Twin Falls,ID,Metro,6,12660,43031,19440,326,0.016769547,332200
"Mineral Wells, TX Micro Area",Mineral Wells,TX,Micro,20,30671,11234,3114,52,0.01669878,241000
"Huntsville, AL Metro Area",Huntsville,AL,Metro,3,9021,205984,90486,1510,0.016687664,306000
"Palestine, TX Micro Area",Palestine,TX,Micro,20,30671,17579,5250,87,0.016571429,200500
"Albany-Schenectady-Troy, NY Metro Area",Albany-Schenectady-Troy,NY,Metro,3,4175,383063,150167,2473,0.016468332,294200
"Tyler, TX Metro Area",Tyler,TX,Metro,0,0,83134,30534,501,0.016407939,255400
"Casper, WY Metro Area",Casper,WY,Metro,4,3425,33886,15117,248,0.016405371,283200
"Lawrence, KS Metro Area",Lawrence,KS,Metro,1,375,50406,16478,270,0.016385484,322300
"Winston-Salem, NC Metro Area",Winston-Salem,NC,Metro,6,12660,281596,114100,1868,0.016371604,250200
"Iowa City, IA Metro Area",Iowa City,IA,Metro,1,3200,72313,27904,454,0.016270069,311100
"Le Mars, IA Micro Area",Le Mars,IA,Micro,4,3425,10313,3939,64,0.016247779,233800
"Slidell-Mandeville-Covington, LA Metro Area",Slidell-Mandeville-Covington,LA,Metro,0,0,105082,53577,869,0.016219646,294700
"Lebanon, PA Metro Area",Lebanon,PA,Metro,0,0,56712,23372,378,0.016173199,251500
"Watertown-Fort Atkinson, WI Micro Area",Watertown-Fort Atkinson,WI,Micro,0,0,34873,15803,255,0.016136177,284000
"Hartford-West Hartford-East Hartford, CT Metro Area",Hartford-West Hartford-East Hartford,CT,Metro,3,12150,465181,201443,3250,0.016133596,338200
"Cincinnati, OH-KY-IN Metro Area",Cincinnati,OH-KY-IN,Metro,2,4925,906675,406524,6538,0.016082691,273700
"Ocala, FL Metro Area",Ocala,FL,Metro,1,425,164881,62157,999,0.016072204,263700
"Mountain Home, ID Micro Area",Mountain Home,ID,Micro,3,9021,11067,4430,71,0.016027088,330600
"Kirksville, MO Micro Area",Kirksville,MO,Micro,0,0,10433,3309,53,0.016016924,164000
"Idaho Falls, ID Metro Area",Idaho Falls,ID,Metro,3,3820,55456,26434,423,0.016002118,391300
"Monticello, NY Micro Area",Monticello,NY,Micro,0,0,31434,9695,154,0.015884477,291700
"Riverton, WY Micro Area",Riverton,WY,Micro,3,3820,15037,5048,80,0.015847861,298900
"Tulsa, OK Metro Area",Tulsa,OK,Metro,1,425,406447,154017,2436,0.015816436,238600
"Macomb, IL Micro Area",Macomb,IL,Micro,0,0,11856,3737,59,0.015788065,113700
"Lake Charles, LA Metro Area",Lake Charles,LA,Metro,0,0,92043,33667,530,0.015742418,235600
"Columbia, MO Metro Area",Columbia,MO,Metro,20,30671,86393,31915,502,0.015729281,268000
"Newport, TN Micro Area",Newport,TN,Micro,0,0,15509,4725,74,0.015661376,178800
"Rocky Mount, NC Metro Area",Rocky Mount,NC,Metro,20,30671,58449,19004,297,0.015628289,192800
"Cortland, NY Micro Area",Cortland,NY,Micro,2,11835,18999,6735,105,0.0155902,170500
"Huron, SD Micro Area",Huron,SD,Micro,1,375,7536,2635,41,0.015559772,186900
"Somerset, KY Micro Area",Somerset,KY,Micro,0,0,26210,9481,147,0.015504694,185800
"Bloomington, IN Metro Area",Bloomington,IN,Metro,50,336933,67854,23684,366,0.015453471,275400
"Lafayette, LA Metro Area",Lafayette,LA,Metro,0,0,164378,57414,883,0.015379524,246100
"Arkadelphia, AR Micro Area",Arkadelphia,AR,Micro,0,0,8121,2472,38,0.015372168,197700
"Mountain Home, AR Micro Area",Mountain Home,AR,Micro,0,0,19348,6966,107,0.015360322,188600
"Tuscaloosa, AL Metro Area",Tuscaloosa,AL,Metro,0,0,105683,38295,586,0.015302259,255200
"Grand Rapids, MN Micro Area",Grand Rapids,MN,Micro,0,0,18541,8247,126,0.015278283,229900
"Norwich-New London-Willimantic, CT Metro Area",Norwich-New London-Willimantic,CT,Metro,0,0,115768,45696,689,0.015077906,328100
"Eau Claire, WI Metro Area",Eau Claire,WI,Metro,3,12150,71865,27729,418,0.015074471,267200
"Winchester, VA-WV Metro Area",Winchester,VA-WV,Metro,4,3425,55520,25024,377,0.015065537,373100
"Pittsburgh, PA Metro Area",Pittsburgh,PA,Metro,0,0,1061705,416037,6263,0.01505395,234100
"Mount Vernon, OH Micro Area",Mount Vernon,OH,Micro,0,0,23491,10845,163,0.015029968,247700
"Charleston, WV Metro Area",Charleston,WV,Metro,0,0,87358,28665,430,0.015000872,163000
"Monroe, LA Metro Area",Monroe,LA,Metro,1,425,87006,26930,403,0.014964723,211600
"Willmar, MN Micro Area",Willmar,MN,Micro,0,0,17603,7546,112,0.014842301,242600
"Branson, MO Micro Area",Branson,MO,Micro,0,0,22788,8302,123,0.014815707,235200
"Lake City, FL Micro Area",Lake City,FL,Micro,0,0,27430,9591,142,0.014805547,250300
"Great Falls, MT Metro Area",Great Falls,MT,Metro,2,1050,35615,14288,211,0.014767637,277200
"Sayre, PA Micro Area",Sayre,PA,Micro,4,3425,24610,8197,121,0.014761498,206400
"Cleveland, TN Metro Area",Cleveland,TN,Metro,0,0,50020,18077,265,0.014659512,272900
"Albuquerque, NM Metro Area",Albuquerque,NM,Metro,2,11835,376025,158997,2328,0.014641786,299500
"St. Cloud, MN Metro Area",St. Cloud,MN,Metro,2,12595,78122,31585,460,0.014563875,275800
"Johnson City, TN Metro Area",Johnson City,TN,Metro,6,12660,88979,30101,437,0.01451779,240700
"Eufaula, AL-GA Micro Area",Eufaula,AL-GA,Micro,2,1200,10195,2761,40,0.014487505,165100
"Rutland, VT Micro Area",Rutland,VT,Micro,0,0,25321,10424,151,0.014485802,234400
"Augusta-Richmond County, GA-SC Metro Area",Augusta-Richmond County,GA-SC,Metro,0,0,231857,91535,1322,0.014442563,252000
"Lincoln, NE Metro Area",Lincoln,NE,Metro,50,336933,140914,53143,765,0.014395123,276700
"Winnemucca, NV Micro Area",Winnemucca,NV,Micro,2,1200,6911,3067,44,0.014346267,301600
"Ithaca, NY Metro Area",Ithaca,NY,Metro,50,336933,43263,12281,176,0.014331081,302600
"Bismarck, ND Metro Area",Bismarck,ND,Metro,0,0,55940,22829,326,0.014280082,330600
